Locality,Average Price(Rs./Sq-ft)
Bharathi Nagar,6000
Byrasandra,4000
Dattatreya Temple,7000
Hombegowda Nagar,7500
S K Garden,9800
Saddgunte Palya,6250
Sagayarapuram,8900
Sampangiram Nagar,8500
Sarakki,6000
Sarvagna Nagar,6000
Shakthi Ganapathi Nagar,8000
Shankar Nagar,7000
Shettihalli,3500
Shivanagar,6900
Siddapura,3500
Subhash Nagar,12000
Sudham Nagara,7500
Venkateshpura,3500
Vishveswarapuram,13000
